dataset,run,method,train_precision,train_accuracy,train_recall,test_precision,test_accuracy,test_recall,time,convergence_warning
rice,1,LogisticRegression,0.937766931,0.9299965,0.940061162,0.940850277,0.92864638,0.933944954,2.263,FALSE
rice,1,SVM,0.939061548,0.932096605,0.942507645,0.94106814,0.930745016,0.937614679,1.155,FALSE
rice,1,Perceptron,0.77302944,0.830241512,0.995718654,0.77,0.824763903,0.988990826,0.196,FALSE
rice,1,Ridge,0.92695962,0.931046552,0.954740061,0.928315412,0.929695698,0.950458716,0.068,FALSE
rice,2,LogisticRegression,0.938294011,0.934896745,0.948623853,0.940409683,0.924449108,0.926605505,0.237,FALSE
rice,2,SVM,0.938294011,0.934896745,0.948623853,0.938547486,0.922350472,0.924770642,0.415,FALSE
rice,2,Perceptron,0.95390525,0.924046202,0.911314985,0.963114754,0.902413431,0.862385321,0.211,FALSE
rice,2,Ridge,0.927347903,0.93419671,0.960244648,0.927536232,0.92339979,0.939449541,0.101,FALSE
rice,3,LogisticRegression,0.939707674,0.933146657,0.943730887,0.9375,0.927597062,0.935779817,0.209,FALSE
rice,3,SVM,0.942839582,0.932096605,0.9382263,0.935185185,0.921301154,0.926605505,0.412,FALSE
rice,3,Perceptron,0.958224543,0.919145957,0.897859327,0.951550388,0.917103882,0.900917431,0.192,FALSE
rice,3,Ridge,0.931055156,0.931046552,0.949847095,0.92459605,0.924449108,0.944954128,0.087,FALSE
rice,4,LogisticRegression,0.938898972,0.93559678,0.949235474,0.927536232,0.92339979,0.939449541,0.226,FALSE
rice,4,SVM,0.938294011,0.934896745,0.948623853,0.924050633,0.920251836,0.937614679,0.379,FALSE
rice,4,Perceptron,0.899255867,0.9159958,0.960856269,0.882653061,0.900314795,0.952293578,0.203,FALSE
rice,4,Ridge,0.931547619,0.935246762,0.957186544,0.911816578,0.9181532,0.948623853,0.088,FALSE
hmeq,1,LogisticRegression,0.714673913,0.835794183,0.294843049,0.674418605,0.830872483,0.292929293,0.243,FALSE
hmeq,1,SVM,0.800829876,0.832885906,0.216367713,0.730337079,0.828187919,0.218855219,0.578,TRUE
hmeq,1,Perceptron,0,0.800447427,0,0,0.800671141,0,0.223,FALSE
hmeq,1,Ridge,0.714765101,0.829082774,0.238789238,0.72,0.830201342,0.242424242,0.099,FALSE
hmeq,2,LogisticRegression,0.736543909,0.837807606,0.291479821,0.697674419,0.834899329,0.303030303,0.252,FALSE
hmeq,2,SVM,0.732258065,0.832662192,0.254484305,0.694915254,0.831543624,0.276094276,0.784,FALSE
hmeq,2,Perceptron,0,0.800447427,0,0,0.800671141,0,0.230,FALSE
hmeq,2,Ridge,0.754716981,0.83064877,0.224215247,0.714285714,0.82885906,0.235690236,0.101,FALSE
hmeq,3,LogisticRegression,0.733509235,0.840044743,0.311659193,0.698113208,0.82885906,0.249158249,0.434,FALSE
hmeq,3,SVM,0.718934911,0.833557047,0.272421525,0.686868687,0.825503356,0.228956229,0.495,FALSE
hmeq,3,Perceptron,0,0.800447427,0,0,0.800671141,0,0.232,FALSE
hmeq,3,Ridge,0.753472222,0.83310962,0.243273543,0.689655172,0.822818792,0.202020202,0.089,FALSE
hmeq,4,LogisticRegression,0.713483146,0.834451902,0.284753363,0.755905512,0.844295302,0.323232323,0.260,FALSE
hmeq,4,SVM,0.723472669,0.831543624,0.252242152,0.738317757,0.834899329,0.265993266,0.471,FALSE
hmeq,4,Perceptron,0,0.800447427,0,0,0.800671141,0,0.206,FALSE
hmeq,4,Ridge,0.765799257,0.832438479,0.230941704,0.775280899,0.833557047,0.232323232,0.105,FALSE
ospi,1,LogisticRegression,0.743478261,0.881583216,0.358490566,0.771186441,0.886798573,0.381551363,0.382,FALSE
ospi,1,SVM,0.74151436,0.885260084,0.396925227,0.771653543,0.890042167,0.410901468,1.396,TRUE
ospi,1,Perceptron,0.69460501,0.888936953,0.503843466,0.71641791,0.892312682,0.503144654,0.348,FALSE
ospi,1,Ridge,0.787418655,0.87390505,0.253668763,0.774193548,0.872851119,0.251572327,0.203,FALSE
ospi,2,LogisticRegression,0.754120879,0.885260084,0.383647799,0.728813559,0.880311385,0.360587002,0.350,FALSE
ospi,2,SVM,0.75255102,0.888071807,0.412299092,0.729411765,0.88323062,0.389937107,1.617,TRUE
ospi,2,Perceptron,0.740926158,0.886882232,0.413696716,0.72972973,0.883879338,0.396226415,0.345,FALSE
ospi,2,Ridge,0.799544419,0.873688764,0.245283019,0.736842105,0.868634447,0.234800839,0.213,FALSE
ospi,3,LogisticRegression,0.748554913,0.882448362,0.361984626,0.759090909,0.882257541,0.350104822,0.396,FALSE
ospi,3,SVM,0.743725231,0.885151941,0.393431167,0.75502008,0.886474213,0.394129979,1.255,TRUE
ospi,3,Perceptron,0,0.845247107,0,0,0.845280571,0,0.349,FALSE
ospi,3,Ridge,0.786780384,0.874337623,0.257861635,0.795275591,0.869607525,0.211740042,0.217,FALSE
ospi,4,LogisticRegression,0.747503566,0.882772791,0.366177498,0.734615385,0.884852416,0.400419287,0.386,FALSE
ospi,4,SVM,0.742444152,0.885151941,0.394828791,0.733108108,0.890042167,0.454926625,1.430,TRUE
ospi,4,Perceptron,0.441049745,0.81269601,0.786862334,0.446882217,0.815439507,0.811320755,0.368,FALSE
ospi,4,Ridge,0.794930876,0.872931762,0.241090147,0.765060241,0.873824197,0.266247379,0.340,FALSE
