dataset,run,method,train_precision,train_accuracy,train_recall,test_precision,test_accuracy,test_recall,time,convergence_warning
rice,1,LogisticRegression,0.9377669310555217,0.9299964998249912,0.9400611620795107,0.9408502772643254,0.9286463798530955,0.9339449541284404,2.295839309692383,False
rice,1,SVM,0.9390615478366849,0.9320966048302415,0.9425076452599388,0.9410681399631676,0.9307450157397692,0.9376146788990826,1.3565983772277832,False
rice,1,Perceptron,0.7730294396961064,0.8302415120756038,0.9957186544342508,0.77,0.8247639034627492,0.9889908256880734,0.21026206016540527,False
rice,1,Ridge,0.9269596199524941,0.9310465523276164,0.9547400611620795,0.9283154121863799,0.9296956977964324,0.9504587155963303,0.07761406898498535,False
rice,2,LogisticRegression,0.9382940108892922,0.9348967448372418,0.9486238532110092,0.9404096834264432,0.9244491080797481,0.926605504587156,0.24044299125671387,False
rice,2,SVM,0.9382940108892922,0.9348967448372418,0.9486238532110092,0.9385474860335196,0.9223504721930745,0.9247706422018349,0.41849684715270996,False
rice,2,Perceptron,0.9539052496798975,0.9240462023101155,0.9113149847094801,0.9631147540983607,0.9024134312696747,0.8623853211009175,0.194413423538208,False
rice,2,Ridge,0.9273479031305375,0.9341967098354917,0.9602446483180428,0.927536231884058,0.9233997901364114,0.9394495412844037,0.10014867782592773,False
rice,3,LogisticRegression,0.9397076735688186,0.9331466573328666,0.9437308868501529,0.9375,0.9275970619097587,0.9357798165137615,0.195786714553833,False
rice,3,SVM,0.942839582052858,0.9320966048302415,0.9382262996941896,0.9351851851851852,0.9213011542497377,0.926605504587156,0.37525248527526855,False
rice,3,Perceptron,0.95822454308094,0.9191459572978649,0.8978593272171254,0.9515503875968992,0.9171038824763903,0.9009174311926605,0.18638849258422852,False
rice,3,Ridge,0.9310551558752997,0.9310465523276164,0.9498470948012232,0.9245960502692998,0.9244491080797481,0.944954128440367,0.10250210762023926,False
rice,4,LogisticRegression,0.9388989715668482,0.9355967798389919,0.9492354740061162,0.927536231884058,0.9233997901364114,0.9394495412844037,0.21808290481567383,False
rice,4,SVM,0.9382940108892922,0.9348967448372418,0.9486238532110092,0.9240506329113924,0.9202518363064008,0.9376146788990826,0.39031004905700684,False
rice,4,Perceptron,0.8992558672009159,0.9159957997899895,0.9608562691131498,0.8826530612244898,0.9003147953830011,0.9522935779816514,0.18441557884216309,False
rice,4,Ridge,0.9315476190476191,0.9352467623381169,0.9571865443425076,0.9118165784832452,0.9181532004197271,0.9486238532110092,0.08917450904846191,False
hmeq,1,LogisticRegression,0.7146739130434783,0.8357941834451902,0.2948430493273543,0.6744186046511628,0.8308724832214766,0.29292929292929293,0.23785185813903809,False
hmeq,1,SVM,0.7925311203319502,0.8319910514541387,0.2141255605381166,0.7586206896551724,0.8308724832214766,0.2222222222222222,0.5476779937744141,True
hmeq,1,Perceptron,0.0,0.8004474272930648,0.0,0.0,0.8006711409395973,0.0,0.21288132667541504,False
hmeq,1,Ridge,0.714765100671141,0.829082774049217,0.23878923766816143,0.72,0.8302013422818791,0.24242424242424243,0.0970144271850586,False
hmeq,2,LogisticRegression,0.7365439093484419,0.8378076062639821,0.2914798206278027,0.6976744186046512,0.8348993288590604,0.30303030303030304,0.2787446975708008,False
hmeq,2,SVM,0.7322580645161291,0.8326621923937361,0.25448430493273544,0.6949152542372882,0.8315436241610739,0.2760942760942761,0.4786341190338135,False
hmeq,2,Perceptron,0.0,0.8004474272930648,0.0,0.0,0.8006711409395973,0.0,0.22340703010559082,False
hmeq,2,Ridge,0.7547169811320755,0.830648769574944,0.2242152466367713,0.7142857142857143,0.8288590604026845,0.2356902356902357,0.10183954238891602,False
hmeq,3,LogisticRegression,0.7335092348284961,0.8400447427293065,0.3116591928251121,0.6981132075471698,0.8288590604026845,0.24915824915824916,0.24432802200317383,False
hmeq,3,SVM,0.7189349112426036,0.8335570469798658,0.27242152466367714,0.6868686868686869,0.825503355704698,0.22895622895622897,0.48799753189086914,False
hmeq,3,Perceptron,0.0,0.8004474272930648,0.0,0.0,0.8006711409395973,0.0,0.23123478889465332,False
hmeq,3,Ridge,0.7534722222222222,0.8331096196868009,0.24327354260089687,0.6896551724137931,0.8228187919463087,0.20202020202020202,0.09626984596252441,False
hmeq,4,LogisticRegression,0.7134831460674157,0.8344519015659956,0.28475336322869954,0.7559055118110236,0.8442953020134228,0.32323232323232326,0.2521343231201172,False
hmeq,4,SVM,0.7234726688102894,0.8315436241610739,0.2522421524663677,0.7383177570093458,0.8348993288590604,0.265993265993266,0.45773911476135254,False
hmeq,4,Perceptron,0.0,0.8004474272930648,0.0,0.0,0.8006711409395973,0.0,0.21894192695617676,False
hmeq,4,Ridge,0.7657992565055762,0.8324384787472036,0.23094170403587444,0.7752808988764045,0.8335570469798658,0.23232323232323232,0.09554791450500488,False
ospi,1,LogisticRegression,0.7434782608695653,0.88158321617822,0.3584905660377358,0.7711864406779662,0.8867985728186831,0.38155136268343814,0.38390612602233887,False
ospi,1,SVM,0.7409326424870466,0.8854763707148264,0.3997204751921733,0.7665369649805448,0.8897178073305222,0.4129979035639413,1.5650851726531982,True
ospi,1,Perceptron,0.6946050096339114,0.8889369525251433,0.5038434661076171,0.7164179104477612,0.892312682452157,0.5031446540880503,0.4123373031616211,False
ospi,1,Ridge,0.7874186550976139,0.8739050502865794,0.25366876310272535,0.7741935483870968,0.8728511190398962,0.25157232704402516,0.23049616813659668,False
ospi,2,LogisticRegression,0.7541208791208791,0.8852600843516816,0.3836477987421384,0.7288135593220338,0.8803113850145962,0.36058700209643607,0.6900284290313721,False
ospi,2,SVM,0.7503184713375797,0.8877473775278468,0.4116002795248078,0.7276264591439688,0.8832306195264353,0.3920335429769392,1.5062227249145508,True
ospi,2,Perceptron,0.7409261576971214,0.8868822320752676,0.413696715583508,0.7297297297297297,0.883879338306844,0.39622641509433965,0.3424646854400635,False
ospi,2,Ridge,0.7995444191343963,0.8736887639234346,0.24528301886792453,0.7368421052631579,0.8686344469672397,0.2348008385744235,0.19339442253112793,False
ospi,3,LogisticRegression,0.7485549132947977,0.8824483616307992,0.36198462613556953,0.759090909090909,0.8822575413558222,0.350104821802935,0.37467455863952637,False
ospi,3,SVM,0.7437252311756936,0.8851519411701092,0.39343116701607267,0.7550200803212851,0.8864742134284788,0.3941299790356394,1.1304028034210205,True
ospi,3,Perceptron,0.0,0.8452471071698929,0.0,0.0,0.8452805708725267,0.0,0.3659665584564209,False
ospi,3,Ridge,0.7867803837953091,0.874337623012869,0.2578616352201258,0.7952755905511811,0.8696075251378528,0.21174004192872117,0.20522093772888184,False
ospi,4,LogisticRegression,0.7475035663338089,0.8827727911755164,0.36617749825296997,0.7346153846153847,0.884852416477457,0.40041928721174,0.3837244510650635,False
ospi,4,SVM,0.7448186528497409,0.8861252298042609,0.4018169112508735,0.7315436241610739,0.8900421667207266,0.4570230607966457,1.7701694965362549,True
ospi,4,Perceptron,0.44104974539757147,0.8126960095165999,0.7868623340321453,0.4468822170900693,0.8154395069737269,0.8113207547169812,0.40976524353027344,False
ospi,4,Ridge,0.7949308755760369,0.8729317616524278,0.24109014675052412,0.7650602409638554,0.8738241972105092,0.2662473794549266,0.0984647274017334,False
