dataset,depth,split,method,tau_0
wine,2,1,IDSA-PIP,8
wine,2,2,IDSA-PIP,9
wine,2,3,IDSA-PIP,8
wine,2,4,IDSA-PIP,4
nwth,2,1,IDSA-PIP,
nwth,2,2,IDSA-PIP,
nwth,2,3,IDSA-PIP,
nwth,2,4,IDSA-PIP,
htds,2,1,IDSA-PIP,9
htds,2,2,IDSA-PIP,8
htds,2,3,IDSA-PIP,10
htds,2,4,IDSA-PIP,12
dmtl,2,1,IDSA-PIP,19
dmtl,2,2,IDSA-PIP,15
dmtl,2,3,IDSA-PIP,19
dmtl,2,4,IDSA-PIP,18
blsc,2,1,IDSA-PIP,
blsc,2,2,IDSA-PIP,
blsc,2,3,IDSA-PIP,
blsc,2,4,IDSA-PIP,
ctmc,2,1,IDSA-PIP,8
ctmc,2,2,IDSA-PIP,7
ctmc,2,3,IDSA-PIP,8
ctmc,2,4,IDSA-PIP,4
ceva,2,1,IDSA-PIP,9
ceva,2,2,IDSA-PIP,9
ceva,2,3,IDSA-PIP,5
ceva,2,4,IDSA-PIP,5
fish,2,1,IDSA-PIP,
fish,2,2,IDSA-PIP,
fish,2,3,IDSA-PIP,
fish,2,4,IDSA-PIP,
wine,3,1,IDSA-PIP,7
wine,3,2,IDSA-PIP,10
wine,3,3,IDSA-PIP,7
wine,3,4,IDSA-PIP,7
nwth,3,1,IDSA-PIP,
nwth,3,2,IDSA-PIP,
nwth,3,3,IDSA-PIP,
nwth,3,4,IDSA-PIP,
htds,3,1,IDSA-PIP,10
htds,3,2,IDSA-PIP,12
htds,3,3,IDSA-PIP,7
htds,3,4,IDSA-PIP,11
dmtl,3,1,IDSA-PIP,16
dmtl,3,2,IDSA-PIP,20
dmtl,3,3,IDSA-PIP,20
dmtl,3,4,IDSA-PIP,18
blsc,3,1,IDSA-PIP,
blsc,3,2,IDSA-PIP,
blsc,3,3,IDSA-PIP,
blsc,3,4,IDSA-PIP,
ctmc,3,1,IDSA-PIP,7
ctmc,3,2,IDSA-PIP,8
ctmc,3,3,IDSA-PIP,4
ctmc,3,4,IDSA-PIP,4
ceva,3,1,IDSA-PIP,9
ceva,3,2,IDSA-PIP,6
ceva,3,3,IDSA-PIP,8
ceva,3,4,IDSA-PIP,9
fish,3,1,IDSA-PIP,
fish,3,2,IDSA-PIP,
fish,3,3,IDSA-PIP,
fish,3,4,IDSA-PIP,
wine,4,1,IDSA-PIP,10
wine,4,2,IDSA-PIP,7
wine,4,3,IDSA-PIP,10
wine,4,4,IDSA-PIP,8
nwth,4,1,IDSA-PIP,
nwth,4,2,IDSA-PIP,
nwth,4,3,IDSA-PIP,
nwth,4,4,IDSA-PIP,
htds,4,1,IDSA-PIP,10
htds,4,2,IDSA-PIP,7
htds,4,3,IDSA-PIP,11
htds,4,4,IDSA-PIP,7
dmtl,4,1,IDSA-PIP,18
dmtl,4,2,IDSA-PIP,14
dmtl,4,3,IDSA-PIP,17
dmtl,4,4,IDSA-PIP,19
blsc,4,1,IDSA-PIP,
blsc,4,2,IDSA-PIP,
blsc,4,3,IDSA-PIP,
blsc,4,4,IDSA-PIP,
ctmc,4,1,IDSA-PIP,5
ctmc,4,2,IDSA-PIP,7
ctmc,4,3,IDSA-PIP,4
ctmc,4,4,IDSA-PIP,9
ceva,4,1,IDSA-PIP,9
ceva,4,2,IDSA-PIP,11
ceva,4,3,IDSA-PIP,10
ceva,4,4,IDSA-PIP,8
fish,4,1,IDSA-PIP,
fish,4,2,IDSA-PIP,
fish,4,3,IDSA-PIP,
fish,4,4,IDSA-PIP,
