dataset,depth,split,method,restricted_class,criterion,min_samples_split,min_samples_leaf,max_features,splitter,time,train_acc,test_acc,train_prec,test_prec
ctmc,2,1,CART,,gini,2,2,,best,0.146776263,0.480072464,0.452574526,0.528409091,0.51754386
ctmc,2,2,CART,,gini,2,1,,best,0.133280004,0.519927536,0.466124661,0.625954198,0.590909091
ctmc,2,3,CART,,gini,2,1,,best,0.126443729,0.470108696,0.485094851,0.524781341,0.530612245
ctmc,2,4,CART,,gini,2,1,,best,0.126479949,0.480978261,0.452574526,0.532467532,0.508403361
ctmc,3,1,CART,,gini,2,2,,best,0.132075266,0.54076087,0.504065041,0.802419355,0.752941176
ctmc,3,2,CART,,gini,2,1,,best,0.132240986,0.551630435,0.498644986,0.580165289,0.538071066
ctmc,3,3,CART,,gini,2,1,,best,0.131103327,0.533514493,0.539295393,0.762773723,0.699115044
ctmc,3,4,CART,,entropy,2,1,,best,0.139503882,0.536231884,0.52303523,0.771217712,0.76744186
ctmc,4,1,CART,,gini,2,2,,best,0.152330146,0.580615942,0.566395664,0.678492239,0.653846154
ctmc,4,2,CART,,gini,5,1,,best,0.149606816,0.58423913,0.517615176,0.675052411,0.643835616
ctmc,4,3,CART,,gini,2,1,,best,0.144147662,0.570652174,0.574525745,0.660377358,0.624277457
ctmc,4,4,CART,,entropy,2,1,,best,0.144821228,0.58423913,0.536585366,0.679487179,0.620253165
