method,dataset,run,depth,restricted_class,criterion,min_samples_split,min_samples_leaf,max_features,splitter,time,train_acc,test_acc,train_prec,test_prec
CART,ctmc,1,2,1,gini,2,2,,best,0.1467762626707554,0.48007246376811596,0.45257452574525747,0.5284090909090909,0.5175438596491229
CART,ctmc,2,2,1,gini,2,1,,best,0.1332800043746829,0.519927536231884,0.46612466124661245,0.6259541984732825,0.5909090909090909
CART,ctmc,3,2,1,gini,2,1,,best,0.12644372880458832,0.4701086956521739,0.48509485094850946,0.5247813411078717,0.5306122448979592
CART,ctmc,4,2,1,gini,2,1,,best,0.1264799488708377,0.48097826086956524,0.45257452574525747,0.5324675324675324,0.5084033613445378
CART,ctmc,1,3,1,gini,2,2,,best,0.13207526598125696,0.5407608695652174,0.5040650406504065,0.8024193548387096,0.7529411764705882
CART,ctmc,2,3,1,gini,2,1,,best,0.13224098645150661,0.5516304347826086,0.4986449864498645,0.5801652892561984,0.5380710659898477
CART,ctmc,3,3,1,gini,2,1,,best,0.13110332749783993,0.5335144927536232,0.5392953929539296,0.7627737226277372,0.6991150442477876
CART,ctmc,4,3,1,entropy,2,1,,best,0.13950388226658106,0.5362318840579711,0.5230352303523035,0.7712177121771218,0.7674418604651163
CART,ctmc,1,4,1,gini,2,2,,best,0.1523301461711526,0.5806159420289855,0.5663956639566395,0.6784922394678492,0.6538461538461539
CART,ctmc,2,4,1,gini,5,1,,best,0.14960681647062302,0.5842391304347826,0.5176151761517616,0.6750524109014675,0.6438356164383562
CART,ctmc,3,4,1,gini,2,1,,best,0.14414766244590282,0.5706521739130435,0.5745257452574526,0.660377358490566,0.6242774566473989
CART,ctmc,4,4,1,entropy,2,1,,best,0.14482122845947742,0.5842391304347826,0.5365853658536586,0.6794871794871795,0.620253164556962
