classifier,fold,train_accuracy,test_accuracy,fold_time_seconds,best_params,train_class_0_precision,test_class_0_precision,train_class_1_precision,test_class_1_precision,train_class_2_precision,test_class_2_precision,train_class_3_precision,test_class_3_precision,train_class_4_precision,test_class_4_precision,train_class_5_precision,test_class_5_precision,train_class_6_precision,test_class_6_precision
LogisticRegression,1,0.964,0.962,145.821,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.996,1.0,1.0,1.0,0.926,0.915,0.967,0.975,0.864,0.862,1.0,1.0,1.0,0.988
LogisticRegression,2,0.958,0.948,137.975,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.996,1.0,1.0,1.0,0.912,0.973,0.967,0.96,0.837,0.78,1.0,0.965,1.0,1.0
LogisticRegression,3,0.965,0.927,142.311,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.996,1.0,1.0,1.0,0.937,0.824,0.975,0.948,0.854,0.741,1.0,0.988,1.0,1.0
LogisticRegression,4,0.962,0.958,139.677,"{'C': 100, 'max_iter': 5000, 'penalty': 'l2', 'solver': 'lbfgs'}",0.996,0.976,1.0,1.0,0.921,0.934,0.979,0.975,0.846,0.843,1.0,1.0,1.0,0.988
LinearSVM,1,0.927,0.927,3.741,"{'C': 10, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.964,0.988,1.0,1.0,0.825,0.809,0.937,0.9,0.791,0.819,0.976,0.976,1.0,1.0
LinearSVM,2,0.926,0.924,3.573,"{'C': 100, 'loss': 'squared_hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.992,1.0,1.0,1.0,0.803,0.835,0.947,0.932,0.751,0.75,1.0,0.965,1.0,1.0
LinearSVM,3,0.93,0.92,3.638,"{'C': 10, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.972,0.988,1.0,1.0,0.83,0.773,0.946,0.933,0.805,0.789,0.965,0.965,1.0,1.0
LinearSVM,4,0.932,0.922,3.9,"{'C': 10, 'loss': 'hinge', 'multi_class': 'ovr', 'penalty': 'l2'}",0.965,0.92,1.0,1.0,0.854,0.859,0.922,0.957,0.804,0.762,0.98,0.965,1.0,1.0
LinearSVM_CS,1,0.962,0.962,14.277,"{'C': 10, 'loss': 'squared_hinge'}",0.996,1.0,1.0,1.0,0.909,0.914,0.97,0.975,0.866,0.864,1.0,1.0,0.996,0.988
LinearSVM_CS,2,0.963,0.957,16.039,"{'C': 100, 'loss': 'squared_hinge'}",0.996,1.0,1.0,1.0,0.908,0.95,0.975,0.973,0.866,0.832,1.0,0.965,1.0,1.0
LinearSVM_CS,3,0.969,0.939,14.196,"{'C': 100, 'loss': 'squared_hinge'}",0.996,1.0,1.0,1.0,0.943,0.856,0.979,0.925,0.881,0.821,1.0,0.988,0.992,0.988
LinearSVM_CS,4,0.96,0.955,13.413,"{'C': 10, 'loss': 'squared_hinge'}",0.996,0.953,1.0,1.0,0.915,0.934,0.974,0.975,0.842,0.833,1.0,1.0,1.0,1.0
Perceptron,1,0.91,0.927,1.338,"{'alpha': 0.0001, 'penalty': 'l1'}",0.968,0.976,1.0,1.0,0.804,0.811,0.953,0.972,0.726,0.778,0.958,1.0,1.0,0.976
Perceptron,2,0.878,0.879,1.355,"{'alpha': 0.0001, 'penalty': 'elasticnet'}",0.927,0.953,1.0,1.0,0.632,0.623,0.852,0.873,0.923,0.947,0.966,0.939,1.0,1.0
Perceptron,3,0.905,0.886,1.359,"{'alpha': 0.0001, 'penalty': 'l1'}",0.96,0.952,1.0,1.0,0.861,0.776,0.789,0.812,0.757,0.69,0.991,0.987,1.0,1.0
Perceptron,4,0.882,0.858,1.351,"{'alpha': 0.0001, 'penalty': 'l1'}",0.961,0.931,0.905,0.892,0.908,0.923,0.725,0.693,0.74,0.655,0.925,0.922,0.988,0.976
Ridge,1,0.839,0.863,0.173,{'alpha': 0.001},0.807,0.828,0.984,0.953,0.704,0.765,0.945,0.854,0.763,0.845,0.785,0.82,1.0,1.0
Ridge,2,0.854,0.837,0.161,{'alpha': 0.001},0.834,0.781,0.988,1.0,0.718,0.738,0.907,0.889,0.809,0.76,0.795,0.781,1.0,1.0
Ridge,3,0.848,0.847,0.179,{'alpha': 0.01},0.822,0.888,0.988,0.988,0.739,0.679,0.918,0.946,0.772,0.75,0.782,0.79,1.0,1.0
Ridge,4,0.847,0.825,0.162,{'alpha': 0.1},0.815,0.771,0.984,0.988,0.731,0.72,0.934,0.958,0.768,0.757,0.794,0.735,1.0,1.0
KNN,1,1.0,0.972,2.895,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.988,1.0,1.0,1.0,0.951,1.0,0.951,1.0,0.95,1.0,0.965,1.0,1.0
KNN,2,1.0,0.957,2.703,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.976,1.0,1.0,1.0,0.92,1.0,0.947,1.0,0.902,1.0,0.953,1.0,1.0
KNN,3,1.0,0.965,2.818,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,1.0,1.0,1.0,1.0,0.899,1.0,0.926,1.0,1.0,1.0,0.943,1.0,1.0
KNN,4,1.0,0.958,3.024,"{'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",1.0,0.953,1.0,1.0,1.0,0.919,1.0,0.961,1.0,0.948,1.0,0.932,1.0,1.0
