dataset,depth,split,method,tau_0,key_beta,beta,objective_value,optimality_gap (Full MIP),time,actual_time (Full MIP),gamma,train_acc_margin,test_acc_margin,train_acc,test_acc,train_prec,test_prec
ceva,2,1,Full MIP,9.0,1,0.82,0.5655864197537087,0.7680763983609469,128.5279519557953,3601.077539920807,0.0,0.566,0.525,0.566,0.525,1.0,1.0
ceva,2,1,IDSA-PIP,9.0,1,0.82,0.9189814814814814,,1197.1434698104858,,0.0,0.919,0.891,0.919,0.891,0.999,0.986
ceva,2,2,Full MIP,9.0,1,0.82,0.5547839506172839,0.8025034770514605,372.1360549926758,3600.3309800624847,0.0,0.555,0.558,0.555,0.558,1.0,1.0
ceva,2,2,IDSA-PIP,9.0,1,0.82,0.8858024691358024,,1031.9789423942566,,0.0,0.886,0.875,0.886,0.875,0.973,0.958
ceva,2,3,Full MIP,5.0,1,0.82,0.7091049382716049,0.4102285092491839,3245.513885974884,3600.3046531677246,0.0,0.709,0.725,0.709,0.725,0.826,0.836
ceva,2,3,IDSA-PIP,5.0,1,0.82,0.8410493827160493,,1078.9932293891907,,0.0,0.841,0.838,0.841,0.838,0.909,0.889
ceva,2,4,Full MIP,5.0,1,0.82,0.5547842183488667,0.8025026071869384,36.93039894104004,3600.2876269817352,-2.67731582843744e-11,0.555,0.558,0.555,0.558,1.0,1.0
ceva,2,4,IDSA-PIP,5.0,1,0.82,0.5547839506172839,,546.8604559898376,,0.0,0.555,0.558,0.555,0.558,1.0,1.0
ceva,3,1,Full MIP,9.0,1,0.97,-213099.2090746091,1.0000046926499837,478.6218988895416,3600.4637579917908,21.309999996967083,0.791,0.806,0.791,0.806,0.944,0.97
ceva,3,1,IDSA-PIP,9.0,1,0.97,0.9058641975308641,,1656.902420759201,,0.0,0.906,0.877,0.906,0.877,0.992,0.98
ceva,3,2,Full MIP,6.0,1,0.97,-32699.20906627774,1.0000305817794544,2995.0012261867523,3600.818578004837,3.269999996133947,0.791,0.794,0.791,0.794,0.966,0.966
ceva,3,2,IDSA-PIP,6.0,1,0.97,0.8557098765432098,,1255.03915309906,,0.0,0.856,0.863,0.856,0.863,0.986,0.986
ceva,3,3,Full MIP,8.0,1,0.97,0.7708333333351107,0.297297297294306,1712.9903891086578,3600.7360780239105,0.0,0.771,0.799,0.771,0.799,1.0,1.0
ceva,3,3,IDSA-PIP,8.0,1,0.97,0.8472222222222222,,1236.1589531898499,,0.0,0.847,0.863,0.847,0.863,0.988,0.989
ceva,3,4,Full MIP,9.0,1,0.97,0.7754629629635852,0.2895522388049354,1310.9396741390228,3600.5910592079163,0.0,0.775,0.785,0.775,0.785,1.0,1.0
ceva,3,4,IDSA-PIP,9.0,1,0.97,0.9043209876543209,,1950.032420873642,,0.0,0.904,0.894,0.904,0.894,0.995,0.993
ceva,4,1,Full MIP,9.0,1,0.96,0.7993827160493827,0.25096525096525096,3427.2380499839783,3603.448523044586,0.0,0.799,0.792,0.799,0.792,0.982,0.996
ceva,4,1,IDSA-PIP,9.0,1,0.96,0.9112654320987654,,2398.744544506073,,0.0,0.911,0.907,0.911,0.907,1.0,1.0
ceva,4,2,Full MIP,11.0,1,0.96,-23599.184413580388,1.0000423743457603,1.1493229866027832,3600.365067958832,2.3600000000000136,0.816,0.803,0.816,0.803,0.957,0.937
ceva,4,2,IDSA-PIP,11.0,1,0.96,0.8124999999999999,,928.8162124156952,,0.0,0.812,0.812,0.812,0.812,0.982,0.985
ceva,4,3,Full MIP,10.0,1,0.96,0.7916666666666666,0.26315789473684215,2694.878762960434,3603.279790878296,0.0,0.792,0.819,0.792,0.819,0.987,0.971
ceva,4,3,IDSA-PIP,10.0,1,0.96,0.8294753086419752,,2004.398107290268,,0.0,0.829,0.847,0.829,0.85,0.967,0.953
ceva,4,4,Full MIP,8.0,1,0.96,-414399.1928350783,1.0000024131321135,2348.4219319820404,3600.4510679244995,41.43999999338437,0.807,0.801,0.807,0.801,0.915,0.903
ceva,4,4,IDSA-PIP,8.0,1,0.96,0.8055555555555555,,749.6035680770874,,0.0,0.806,0.806,0.806,0.806,0.967,0.967
